Numer of labeled samples:26731   AUC:0.982
Numer of labeled samples:26748   AUC:0.981
Numer of labeled samples:26735   AUC:0.983
Numer of labeled samples:26738   AUC:0.981
Numer of labeled samples:26742   AUC:0.982
Numer of labeled samples:26741   AUC:0.981
Numer of labeled samples:26726   AUC:0.981
Numer of labeled samples:26749   AUC:0.981
Numer of labeled samples:26751   AUC:0.981
Numer of labeled samples:26748   AUC:0.981
Numer of labeled samples:26746   AUC:0.982
Numer of labeled samples:26755   AUC:0.980
Numer of labeled samples:26746   AUC:0.982
Numer of labeled samples:26757   AUC:0.979
Numer of labeled samples:26732   AUC:0.983
Numer of labeled samples:26756   AUC:0.979
Numer of labeled samples:26736   AUC:0.980
Numer of labeled samples:26756   AUC:0.980
Numer of labeled samples:26745   AUC:0.982
Numer of labeled samples:26755   AUC:0.979
Numer of labeled samples:26752   AUC:0.982
Numer of labeled samples:26760   AUC:0.978
Numer of labeled samples:26752   AUC:0.982
Numer of labeled samples:26763   AUC:0.979
Numer of labeled samples:26755   AUC:0.980
Numer of labeled samples:26755   AUC:0.978
Numer of labeled samples:26726   AUC:0.981
Numer of labeled samples:26763   AUC:0.980
Numer of labeled samples:26739   AUC:0.980
Numer of labeled samples:26758   AUC:0.978
Numer of labeled samples:26755   AUC:0.981
Numer of labeled samples:26764   AUC:0.980
Numer of labeled samples:26754   AUC:0.981
Numer of labeled samples:26748   AUC:0.978
Numer of labeled samples:26758   AUC:0.981
Numer of labeled samples:26755   AUC:0.979
Numer of labeled samples:26763   AUC:0.979
Numer of labeled samples:26762   AUC:0.980
Numer of labeled samples:26759   AUC:0.982
Numer of labeled samples:26769   AUC:0.978
Numer of labeled samples:26767   AUC:0.980
Numer of labeled samples:26761   AUC:0.978
Numer of labeled samples:26768   AUC:0.980
Numer of labeled samples:26764   AUC:0.978
Numer of labeled samples:26766   AUC:0.978
Numer of labeled samples:26769   AUC:0.978
Numer of labeled samples:26760   AUC:0.979
Numer of labeled samples:26769   AUC:0.979
Numer of labeled samples:26766   AUC:0.978
Numer of labeled samples:26771   AUC:0.979
